项目名称,日志文件,检测时间,运行状态,异常信息
aoi-2.8.1,run_20250604-214635.log,2025-06-04 21:46:35,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: bsh.EvalError (are your class path and class name given properly?)"
jedit-4.3.2,run_20250604-214637.log,2025-06-04 21:46:37,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.sun.tools.doclets.internal.toolkit.Configuration (are your class path and class name given properly?)"
itext-5.0.3,run_20250604-214639.log,2025-06-04 21:46:39,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.bouncycastle.tsp.TimeStampTokenInfo (are your class path and class name given properly?)"
emma-2.0.5312,run_20250604-214641.log,2025-06-04 21:46:41,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: java.awt.Window$1 (are your class path and class name given properly?)"
pooka-3.0-080505,run_20250604-214643.log,2025-06-04 21:46:43,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: javax.mail.internet.MimeUtility$1 (are your class path and class name given properly?)"
jag-6.1,run_20250604-214645.log,2025-06-04 21:46:45,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.omg.uml.UmlPackage (are your class path and class name given properly?)"
proguard-4.5.1,run_20250604-214646.log,2025-06-04 21:46:46,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.sun.kvem.environment.Obfuscator (are your class path and class name given properly?)"
openjms-0.7.7-beta-1,run_20250604-214648.log,2025-06-04 21:46:48,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: java.awt.Window$1 (are your class path and class name given properly?)"
xalan-2.7.1,run_20250604-214649.log,2025-06-04 21:46:49,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.apache.xalan.res.XSLTErrorResources_zh (are your class path and class name given properly?)"
jgroups-2.10.0,run_20250604-214651.log,2025-06-04 21:46:51,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.testng.annotations.Test (are your class path and class name given properly?)"
megamek-0.35.18,run_20250604-214653.log,2025-06-04 21:46:53,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: javax.swing.filechooser.FileNameExtensionFilter (are your class path and class name given properly?)"
jext-5.0,run_20250604-214655.log,2025-06-04 21:46:55,成功,无
jasml-0.10,run_20250604-214716.log,2025-06-04 21:47:16,成功,无
batik-1.7,run_20250604-214728.log,2025-06-04 21:47:28,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.sun.image.codec.jpeg.JPEGDecodeParam (are your class path and class name given properly?)"
jhotdraw-7.5.1,run_20250604-214731.log,2025-06-04 21:47:31,成功,无
freecs-1.3.20100406,run_20250604-214759.log,2025-06-04 21:47:59,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.apache.xmlrpc.server.XmlRpcServerConfigImpl (are your class path and class name given properly?)"
quartz-1.8.3,run_20250604-214801.log,2025-06-04 21:48:01,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.jboss.util.Classes (are your class path and class name given properly?)"
